"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"APC",114,60,0,0,51,282,0,13,0,520,325,325
"TP53",22,6,4,1,190,29,0,10,0,262,245,245
"TTN",40,11,3,0,614,69,0,2,0,739,223,223
"KRAS",0,0,0,0,194,0,0,0,0,194,192,192
"SYNE1",11,11,0,2,249,28,0,7,0,308,136,136
"MUC16",10,5,1,0,300,21,0,0,0,337,135,135
"PIK3CA",0,0,5,0,157,2,0,0,0,164,135,135
"FAT4",10,4,0,0,186,17,0,0,0,217,112,112
"RYR2",10,3,0,0,174,18,0,0,0,205,99,99
"CSMD3",15,1,0,0,111,11,0,3,0,141,95,95
"ZFHX4",14,6,1,0,109,5,0,0,0,135,94,94
"DNAH5",21,2,0,0,113,7,1,6,0,150,92,92
"OBSCN",14,2,0,0,132,2,0,0,0,150,92,92
"LRP1B",9,7,0,0,119,23,0,1,0,159,86,86
"PCLO",12,2,1,1,92,8,0,0,0,116,82,82
"RYR3",7,1,0,0,111,9,0,2,0,130,80,80
"DNAH11",9,10,0,0,94,18,0,2,0,133,79,79
"USH2A",5,2,0,0,112,8,0,2,0,129,77,77
"FAT3",8,6,0,0,114,5,0,0,0,133,76,76
"ABCA13",5,4,0,0,93,18,0,0,0,120,76,76
"FBXW7",9,6,0,0,57,17,0,0,0,89,76,76
"DST",9,2,1,0,115,23,0,0,0,150,75,75
"CSMD1",0,1,0,0,114,17,0,0,0,132,74,74
"RYR1",5,4,0,0,80,2,0,1,0,92,74,74
"NEB",6,0,2,0,139,7,0,0,0,154,73,73
"ADGRV1",10,2,0,0,95,7,0,0,0,114,73,73
"DOCK3",44,0,0,0,45,0,0,0,0,89,73,73
"MDN1",16,4,1,0,77,12,0,2,0,112,70,70
"KMT2D",22,6,0,0,60,9,0,0,0,97,70,70
"CACNA1E",2,3,0,0,77,4,0,1,0,87,70,70
"LRP2",4,3,0,0,88,9,0,1,0,105,68,68
"ATM",19,4,1,0,54,14,0,4,0,96,68,68
"RNF43",51,3,1,0,21,4,0,1,0,81,68,68
"BRAF",2,4,1,0,63,2,0,1,0,73,67,67
"ANK3",21,9,0,0,60,5,0,3,0,98,65,65
"DMD",6,0,0,0,76,9,0,5,0,96,65,65
"SOX9",17,22,4,0,27,7,0,2,0,79,65,65
"ARID1A",30,7,0,0,17,17,0,1,0,72,65,65
"SACS",12,7,0,0,80,16,0,0,0,115,64,64
"MUC5B",17,5,1,0,75,0,0,0,0,98,64,64
"PCDH15",4,1,1,0,76,6,0,2,0,90,64,64
"FLG",1,3,0,0,77,4,0,0,0,85,64,64
"SDK1",1,0,0,0,72,2,0,0,0,75,64,64
"SYNE2",9,4,2,0,76,9,0,3,0,103,63,63
"CSMD2",5,2,0,0,78,4,0,2,0,91,63,63
"AMER1",11,5,0,0,18,33,0,0,0,67,63,63
