"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"TP53",36,4,6,0,193,61,0,21,0,321,307,307
"TTN",15,3,0,0,580,25,0,1,0,624,262,262
"MUC16",8,6,0,0,368,37,0,0,0,419,253,253
"CSMD3",12,3,0,0,340,44,0,12,0,411,242,242
"RYR2",10,3,0,0,323,22,0,0,0,358,209,209
"LRP1B",6,3,0,0,291,21,0,11,0,332,200,200
"ZFHX4",7,2,0,0,233,20,0,0,1,263,192,192
"USH2A",9,0,0,0,254,15,0,9,0,287,179,179
"KRAS",0,0,0,0,162,1,0,0,0,163,158,158
"FLG",3,2,0,0,195,15,0,0,0,215,144,144
"XIRP2",9,1,0,0,163,11,0,1,0,185,144,144
"SPTA1",7,2,1,0,135,19,0,5,0,169,131,131
"COL11A1",1,0,0,0,124,14,0,16,0,155,124,124
"NAV3",9,0,0,0,133,3,0,5,0,150,118,118
"FAT3",3,0,0,0,147,14,0,0,0,164,117,117
"ANK2",4,0,0,0,134,8,0,3,0,149,116,116
"ZNF536",2,2,0,0,128,15,0,2,0,149,116,116
"CSMD1",6,0,0,0,120,10,0,0,0,136,112,112
"MUC17",3,1,0,0,134,6,0,2,0,146,111,111
"APOB",1,0,0,0,129,5,0,0,0,135,110,110
"PCLO",7,0,0,0,116,9,0,0,0,132,107,107
"ADAMTS12",3,2,0,0,109,14,0,2,0,130,105,105
"TNR",2,2,0,0,109,10,0,2,0,125,105,105
"PCDH15",4,0,0,0,133,11,0,2,0,150,104,104
"DNAH9",4,0,2,0,105,9,0,6,0,126,102,102
"PAPPA2",4,0,0,0,132,10,0,0,0,146,101,101
"KEAP1",10,1,0,0,82,5,0,3,0,101,100,100
"HMCN1",3,9,0,0,91,8,0,7,0,118,97,97
"RYR1",0,2,0,0,105,7,0,4,0,118,97,97
"PCDH11X",2,0,0,0,105,9,0,0,0,116,96,96
"NPAP1",3,1,0,0,106,4,0,0,0,114,96,96
"ADGRG4",1,1,0,0,91,16,0,1,0,110,95,95
"FAT4",0,0,1,0,99,4,0,0,0,104,95,95
"CACNA1E",1,0,0,0,114,7,0,0,0,122,94,94
"PTPRD",3,0,0,0,100,9,0,3,0,115,94,94
"RYR3",1,0,0,0,110,5,0,0,0,116,93,93
"FBN2",9,0,0,0,88,12,0,4,0,113,92,92
"CDH10",4,0,0,0,96,9,0,1,0,110,92,92
"ERICH3",1,0,0,0,89,9,0,7,0,106,91,91
"RP1L1",1,1,0,0,102,7,0,0,0,111,90,90
"ABCA13",3,0,0,0,88,8,0,0,0,99,89,89
"LRRC7",3,2,0,0,82,10,0,5,0,102,88,88
"SI",2,0,0,0,96,8,0,2,0,108,87,87
"ASTN1",5,0,0,0,94,7,0,2,0,108,85,85
"EGFR",2,0,30,8,63,1,0,0,0,104,85,85
"NALCN",2,0,0,0,88,7,0,3,0,100,85,85
"RELN",1,1,0,0,91,4,0,3,0,100,85,85
"RIMS2",1,1,0,0,87,8,0,1,0,98,85,85
"ZNF804A",2,0,0,0,80,16,0,0,0,98,84,84
"DMD",2,0,0,0,96,14,0,2,0,114,82,82
"MXRA5",1,0,0,0,94,6,0,0,0,101,82,82
"VCAN",1,2,0,0,95,9,0,0,0,107,81,81
"CSMD2",4,0,0,0,83,5,0,1,0,93,81,81
"ASPM",1,1,1,0,81,2,0,0,0,86,81,81
"AHNAK2",11,1,0,0,106,3,0,0,0,121,80,80
"NRXN1",2,2,0,0,88,3,0,0,0,95,80,80
"PXDNL",3,1,0,0,82,6,0,0,0,92,80,80
"PKHD1L1",1,0,0,0,91,4,0,0,0,96,78,78
"OBSCN",3,0,0,0,74,10,0,0,0,87,78,78
"FAM135B",1,1,0,0,78,6,0,3,0,89,77,77
"CNTNAP5",0,1,0,0,90,3,0,0,0,94,76,76
"CNTNAP2",1,1,0,0,80,5,0,3,0,90,76,76
"BRINP3",2,1,0,0,80,6,0,2,1,92,75,75
"SYNE1",4,1,0,0,74,5,0,3,0,87,75,75
"FLG2",0,0,0,0,78,8,0,0,0,86,75,75
"PEG3",3,1,0,0,68,6,0,1,0,79,75,75
"DST",5,0,0,0,79,10,0,0,0,94,74,74
"SYNE2",2,1,2,0,73,8,0,0,0,86,74,74
"ASXL3",1,0,0,0,78,8,1,0,0,88,73,73
"TSHZ3",1,0,0,0,76,10,0,0,0,87,73,73
"DNAH5",1,1,0,0,70,4,0,10,0,86,73,73
"PKHD1",1,0,0,0,78,3,0,4,0,86,73,73
